Nome,Cor,Descrição,Classe Pai
Corte_Raso_Arvores_Remanescentes,#FFF082,Corte_Raso_Arvores_Remanescentes,
Corte_Raso_Solo_Exposto,#FFB882,Corte_Raso_Solo_Exposto,
Floresta,#19DE00,Floresta,
Corpo_Dagua,#00AADE,Corpo_Dagua,
Vegetacao_Natural_Nao_Florestal,#4DFFA9,Vegetacao_Natural_Nao_Florestal,
Floresta_Transicional,#65FF4D,Floresta_Transicional,
Area_Inundavel,#003894,Area_Inundavel,
Corte_Raso_Herbaceas,#004D14,Corte_Raso_Herbaceas,
Degradacao_Por_Fogo,#9E3700,Degradacao_Por_Fogo,
Floresta_Riparia,#627800,Floresta_Riparia,
