year,label,tile,geometry
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.20439999999999 -8.2322, -61.20439999999999 -8.2323, -61.204499999999996 -8.2323, -61.204499999999996 -8.2322, -61.20439999999999 -8.2322))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.20399999999999 -8.2313, -61.20399999999999 -8.2314, -61.20409999999999 -8.2314, -61.20409999999999 -8.2313, -61.20399999999999 -8.2313))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.203799999999994 -8.2308, -61.203799999999994 -8.2309, -61.20389999999999 -8.2309, -61.20389999999999 -8.2308, -61.203799999999994 -8.2308))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.19969999999999 -8.2394, -61.19969999999999 -8.2395, -61.199799999999996 -8.2395, -61.199799999999996 -8.2394, -61.19969999999999 -8.2394))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.19749999999999 -8.2389, -61.19749999999999 -8.239, -61.197599999999994 -8.239, -61.197599999999994 -8.2389, -61.19749999999999 -8.2389))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.19749999999999 -8.2383, -61.19749999999999 -8.2384, -61.197599999999994 -8.2384, -61.197599999999994 -8.2383, -61.19749999999999 -8.2383))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.19749999999999 -8.2366, -61.19749999999999 -8.2367, -61.197599999999994 -8.2367, -61.197599999999994 -8.2366, -61.19749999999999 -8.2366))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.19959999999999 -8.2362, -61.19959999999999 -8.2361, -61.19949999999999 -8.2361, -61.19949999999999 -8.236, -61.19939999999999 -8.236, -61.19939999999999 -8.2362, -61.19959999999999 -8.2362))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.19959999999999 -8.2359, -61.19959999999999 -8.236, -61.19969999999999 -8.236, -61.19969999999999 -8.2359, -61.19959999999999 -8.2359))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.197399999999995 -8.2356, -61.19749999999999 -8.2356, -61.19749999999999 -8.236, -61.197399999999995 -8.236, -61.197399999999995 -8.2361, -61.197599999999994 -8.2361, -61.197599999999994 -8.2355, -61.197399999999995 -8.2355, -61.197399999999995 -8.2356))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.19839999999999 -8.2357, -61.198699999999995 -8.2357, -61.198699999999995 -8.2356, -61.198299999999996 -8.2356, -61.198299999999996 -8.2359, -61.19839999999999 -8.2359, -61.19839999999999 -8.2357))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.20099999999999 -8.2355, -61.20099999999999 -8.2358, -61.20109999999999 -8.2358, -61.20109999999999 -8.2355, -61.20099999999999 -8.2355))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.19769999999999 -8.235, -61.19769999999999 -8.2351, -61.197799999999994 -8.2351, -61.197799999999994 -8.235, -61.19769999999999 -8.235))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.19899999999999 -8.235, -61.19899999999999 -8.2351, -61.199099999999994 -8.2351, -61.199099999999994 -8.235, -61.19899999999999 -8.235))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.19749999999999 -8.2349, -61.19749999999999 -8.235, -61.197599999999994 -8.235, -61.197599999999994 -8.2349, -61.19749999999999 -8.2349))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.19769999999999 -8.2346, -61.197599999999994 -8.2346, -61.197599999999994 -8.2348, -61.19769999999999 -8.2348, -61.19769999999999 -8.2349, -61.19789999999999 -8.2349, -61.19789999999999 -8.235, -61.19799999999999 -8.235, -61.19799999999999 -8.2347, -61.19809999999999 -8.2347, -61.19809999999999 -8.235, -61.19819999999999 -8.235, -61.19819999999999 -8.2351, -61.19839999999999 -8.2351, -61.19839999999999 -8.235, -61.198699999999995 -8.235, -61.198699999999995 -8.2342, -61.19799999999999 -8.2342, -61.19799999999999 -8.234, -61.19789999999999 -8.234, -61.19789999999999 -8.2343, -61.197799999999994 -8.2343, -61.197799999999994 -8.2344, -61.19789999999999 -8.2344, -61.19789999999999 -8.2345, -61.197799999999994 -8.2345, -61.197799999999994 -8.2347, -61.19769999999999 -8.2347, -61.19769999999999 -8.2346), (-61.19789999999999 -8.2347, -61.19789999999999 -8.2346, -61.19799999999999 -8.2346, -61.19799999999999 -8.2347, -61.19789999999999 -8.2347), (-61.19819999999999 -8.2349, -61.198299999999996 -8.2349, -61.198299999999996 -8.235, -61.19819999999999 -8.235, -61.19819999999999 -8.2349), (-61.19859999999999 -8.2347, -61.19859999999999 -8.2349, -61.198499999999996 -8.2349, -61.198499999999996 -8.2347, -61.19859999999999 -8.2347), (-61.19859999999999 -8.2343, -61.19859999999999 -8.2344, -61.198499999999996 -8.2344, -61.198499999999996 -8.2343, -61.19859999999999 -8.2343))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.202099999999994 -8.2342, -61.202099999999994 -8.2344, -61.20219999999999 -8.2344, -61.20219999999999 -8.2342, -61.202099999999994 -8.2342))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.198499999999996 -8.2337, -61.198499999999996 -8.234, -61.19859999999999 -8.234, -61.19859999999999 -8.2341, -61.198699999999995 -8.2341, -61.198699999999995 -8.2338, -61.19859999999999 -8.2338, -61.19859999999999 -8.2337, -61.198499999999996 -8.2337))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.19809999999999 -8.2333, -61.19799999999999 -8.2333, -61.19799999999999 -8.2334, -61.197799999999994 -8.2334, -61.197799999999994 -8.2335, -61.19789999999999 -8.2335, -61.19789999999999 -8.2336, -61.19799999999999 -8.2336, -61.19799999999999 -8.234, -61.19809999999999 -8.234, -61.19809999999999 -8.2333))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.20069999999999 -8.2337, -61.20089999999999 -8.2337, -61.20089999999999 -8.2335, -61.20069999999999 -8.2335, -61.20069999999999 -8.2337))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.201299999999996 -8.2334, -61.201299999999996 -8.2333, -61.20119999999999 -8.2333, -61.20119999999999 -8.2335, -61.201299999999996 -8.2335, -61.201299999999996 -8.2337, -61.201499999999996 -8.2337, -61.201499999999996 -8.2335, -61.20139999999999 -8.2335, -61.20139999999999 -8.2334, -61.201299999999996 -8.2334))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.19809999999999 -8.2332, -61.19809999999999 -8.2333, -61.19819999999999 -8.2333, -61.19819999999999 -8.2332, -61.19809999999999 -8.2332))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.20109999999999 -8.2332, -61.20109999999999 -8.2333, -61.20119999999999 -8.2333, -61.20119999999999 -8.2332, -61.20109999999999 -8.2332))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.20309999999999 -8.233, -61.20309999999999 -8.2331, -61.203199999999995 -8.2331, -61.203199999999995 -8.233, -61.20309999999999 -8.233))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.19769999999999 -8.2328, -61.19769999999999 -8.233, -61.197799999999994 -8.233, -61.197799999999994 -8.2328, -61.19769999999999 -8.2328))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.19789999999999 -8.2328, -61.19789999999999 -8.233, -61.19799999999999 -8.233, -61.19799999999999 -8.2328, -61.19789999999999 -8.2328))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.203799999999994 -8.2321, -61.203799999999994 -8.2323, -61.20389999999999 -8.2323, -61.20389999999999 -8.2321, -61.203799999999994 -8.2321))"
2024,CORTE SELETIVO,C51L41,"POLYGON ((-61.203599999999994 -8.2311, -61.203599999999994 -8.2312, -61.20369999999999 -8.2312, -61.20369999999999 -8.2313, -61.203799999999994 -8.2313, -61.203799999999994 -8.2312, -61.20389999999999 -8.2312, -61.20389999999999 -8.2311, -61.203599999999994 -8.2311))"
