year,label,tile,geometry
2024,CORTE SELETIVO,C51L41,POINT (-61.20445716080069 -8.232224259388651)
2024,CORTE SELETIVO,C51L41,POINT (-61.204063368966814 -8.231330681409196)
2024,CORTE SELETIVO,C51L41,POINT (-61.20382858137 -8.23085637214503)
2024,CORTE SELETIVO,C51L41,POINT (-61.19979327055026 -8.239414779914387)
2024,CORTE SELETIVO,C51L41,POINT (-61.197551722574154 -8.238951183218353)
2024,CORTE SELETIVO,C51L41,POINT (-61.19757784658098 -8.238313011162816)
2024,CORTE SELETIVO,C51L41,POINT (-61.197506669836685 -8.236625624980569)
2024,CORTE SELETIVO,C51L41,POINT (-61.19948923130164 -8.236153777075637)
2024,CORTE SELETIVO,C51L41,POINT (-61.199667579279456 -8.235999604084796)
2024,CORTE SELETIVO,C51L41,POINT (-61.197532568806416 -8.235738803194932)
2024,CORTE SELETIVO,C51L41,POINT (-61.19844316529367 -8.235651604606087)
2024,CORTE SELETIVO,C51L41,POINT (-61.201019279916444 -8.235599858340914)
2024,CORTE SELETIVO,C51L41,POINT (-61.19778821337024 -8.235011789239445)
2024,CORTE SELETIVO,C51L41,POINT (-61.19906680607549 -8.235016070032415)
2024,CORTE SELETIVO,C51L41,POINT (-61.19754645945701 -8.234951757872832)
2024,CORTE SELETIVO,C51L41,POINT (-61.19855447905548 -8.234986047696594)
2024,CORTE SELETIVO,C51L41,POINT (-61.20217753818339 -8.234367062016391)
2024,CORTE SELETIVO,C51L41,POINT (-61.19866048699098 -8.233968253376728)
2024,CORTE SELETIVO,C51L41,POINT (-61.19808259799183 -8.233688849367624)
2024,CORTE SELETIVO,C51L41,POINT (-61.200772478260525 -8.233639687999613)
2024,CORTE SELETIVO,C51L41,POINT (-61.201339195714326 -8.23348826126356)
2024,CORTE SELETIVO,C51L41,POINT (-61.19814488951322 -8.233283441042728)
2024,CORTE SELETIVO,C51L41,POINT (-61.20115921693722 -8.23320106004121)
2024,CORTE SELETIVO,C51L41,POINT (-61.20314453445187 -8.233075839320247)
2024,CORTE SELETIVO,C51L41,POINT (-61.19772630880658 -8.232958110227944)
2024,CORTE SELETIVO,C51L41,POINT (-61.19793496075909 -8.232935910748836)
2024,CORTE SELETIVO,C51L41,POINT (-61.20388285743033 -8.232112180685379)
2024,CORTE SELETIVO,C51L41,POINT (-61.20381935530681 -8.231130939710848)
2024,CORTE SELETIVO,C51L41,POINT (-61.203641961291176 -8.230574739768374)
2024,CORTE SELETIVO,C51L41,POINT (-61.203676497986095 -8.229597076810139)
2024,CORTE SELETIVO,C51L41,POINT (-61.20364882705888 -8.229258812425998)
2024,CORTE SELETIVO,C51L41,POINT (-61.2029095713757 -8.228812703293178)
2024,CORTE SELETIVO,C51L41,POINT (-61.20313496562208 -8.228580072960506)
2024,CORTE SELETIVO,C51L41,POINT (-61.197401116605505 -8.238650047670909)
2024,CORTE SELETIVO,C51L41,POINT (-61.197480729197785 -8.236367234602461)
2024,CORTE SELETIVO,C51L41,POINT (-61.1973480018533 -8.235310390832739)
2024,CORTE SELETIVO,C51L41,POINT (-61.19386332809252 -8.188695204102215)
2024,CORTE SELETIVO,C51L41,POINT (-61.19168765026355 -8.188172213624751)
2024,CORTE SELETIVO,C51L41,POINT (-61.191499998145986 -8.18799531698918)
