geometry,tile,year,label,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63
POINT (-58.96887376344925 -2.570753764329041),C60L63,2024,CORTE SELETIVO,-0.08882737408688965,0.008858131487889272,-0.11909265667051133,-0.07535563244905807,-0.0629911572472126,-0.010396001537870049,-0.07111111111111111,0.08882737408688965,-0.006151480199923107,0.07972318339100345,0.14769703960015382,0.07535563244905807,-0.017777777777777778,-0.13588619761630144,0.024605920799692427,-0.11909265667051133,-0.10340638216070744,-0.08882737408688965,0.0271280276816609,-0.05536332179930796,0.08882737408688965,-0.04822760476739715,0.2069357939254133,0.28444444444444444,0.15378700499807765,0.1085121107266436,0.22145328719723184,-0.08421376393694734,-0.029773164167627833,0.002214532871972318,0.17279507881584008,-0.17279507881584008,-0.13016532103037293,-0.044844290657439445,-0.17279507881584008,-0.0629911572472126,-0.12456747404844293,-0.0629911572472126,-0.1929104190695886,0.05173394848135333,-0.017777777777777778,0.2069357939254133,0.11909265667051133,-0.05173394848135333,0.19986159169550174,-0.07972318339100345,-0.08421376393694734,0.03844675124951941,-0.03254133025759323,-0.019930795847750864,0.2519646289888504,0.010396001537870049,0.041584006151480196,0.19986159169550174,0.13588619761630144,0.2069357939254133,0.186082276047674,-0.019930795847750864,0.2679584775086506,-0.041584006151480196,0.15378700499807765,-0.186082276047674,0.11909265667051133,0.029773164167627833
POINT (-58.96114825200582 -2.682773680258745),C60L63,2024,CORTE SELETIVO,-0.09842368319876971,0.022206843521722412,-0.04822760476739715,-0.08882737408688965,-0.07111111111111111,0.024605920799692427,-0.03254133025759323,0.05911572472126105,-0.06698961937716265,0.07111111111111111,0.13588619761630144,0.09356401384083046,-0.000984236831987697,-0.13588619761630144,-0.007443291041906958,-0.15378700499807765,-0.13588619761630144,-0.024605920799692427,0.09356401384083046,-0.01574778931180315,0.08421376393694734,0.044844290657439445,0.24415224913494812,0.29287197231833906,0.13588619761630144,0.16000000000000003,0.22145328719723184,-0.07111111111111111,-0.03844675124951941,-0.0271280276816609,0.17279507881584008,-0.13588619761630144,-0.07111111111111111,-0.07111111111111111,-0.14173010380622836,-0.05536332179930796,-0.16000000000000003,-0.07972318339100345,-0.2761399461745483,-0.0271280276816609,-0.07972318339100345,0.13588619761630144,0.12456747404844293,-0.03844675124951941,0.14173010380622836,0.024605920799692427,-0.10340638216070744,0.003014225297962322,-0.05173394848135333,-0.04822760476739715,0.24415224913494812,0.010396001537870049,-0.022206843521722412,0.186082276047674,0.13016532103037293,0.13016532103037293,0.1929104190695886,0.010396001537870049,0.31009611687812383,-0.07972318339100345,0.14173010380622836,-0.16633602460592078,0.13016532103037293,-0.09356401384083046
POINT (-58.94210396798249 -2.665256532218414),C60L63,2024,CORTE SELETIVO,-0.10340638216070744,-0.022206843521722412,-0.06698961937716265,-0.14173010380622836,-0.03254133025759323,-0.03543252595155709,-0.07535563244905807,0.07111111111111111,-0.05911572472126105,0.06698961937716265,0.09842368319876971,0.09356401384083046,0.01574778931180315,-0.1085121107266436,-0.024605920799692427,-0.13016532103037293,-0.12456747404844293,0.022206843521722412,0.08421376393694734,-0.0629911572472126,0.1085121107266436,0.06698961937716265,0.2069357939254133,0.2761399461745483,0.09842368319876971,0.11909265667051133,0.2519646289888504,0.017777777777777778,0.0015378700499807767,-0.07535563244905807,0.17279507881584008,-0.17937716262975778,-0.15378700499807765,-0.019930795847750864,-0.16633602460592078,-0.08421376393694734,-0.09842368319876971,-0.003014225297962322,-0.2069357939254133,0.0629911572472126,-0.03543252595155709,0.21413302575932336,0.186082276047674,-0.0271280276816609,0.17937716262975778,0.002214532871972318,-0.11374086889657825,0.05173394848135333,-0.04822760476739715,-0.044844290657439445,0.2069357939254133,0.03543252595155709,0.05536332179930796,0.186082276047674,0.13016532103037293,0.186082276047674,0.19986159169550174,-0.03543252595155709,0.2679584775086506,-0.041584006151480196,0.17279507881584008,-0.1929104190695886,0.11374086889657825,-0.05911572472126105
POINT (-58.94201413645408 -2.6649870376331783),C60L63,2024,CORTE SELETIVO,-0.11374086889657825,-0.024605920799692427,-0.06698961937716265,-0.14769703960015382,-0.05536332179930796,-0.010396001537870049,-0.05536332179930796,0.07111111111111111,-0.0629911572472126,0.044844290657439445,0.13016532103037293,0.05173394848135333,0.0271280276816609,-0.11909265667051133,0.008858131487889272,-0.11374086889657825,-0.07111111111111111,-0.003936947327950788,0.05173394848135333,-0.07972318339100345,0.08882737408688965,0.044844290657439445,0.17937716262975778,0.22145328719723184,0.09356401384083046,0.14769703960015382,0.2519646289888504,-0.019930795847750864,0.003014225297962322,0.01384083044982699,0.14173010380622836,-0.17279507881584008,-0.14769703960015382,-0.019930795847750864,-0.2069357939254133,-0.08882737408688965,-0.09842368319876971,-0.003936947327950788,-0.186082276047674,0.11374086889657825,-0.002214532871972318,0.21413302575932336,0.15378700499807765,-0.044844290657439445,0.15378700499807765,-0.019930795847750864,-0.09842368319876971,0.08421376393694734,-0.044844290657439445,-0.12456747404844293,0.24415224913494812,0.044844290657439445,0.029773164167627833,0.17937716262975778,0.14173010380622836,0.17279507881584008,0.2069357939254133,-0.017777777777777778,0.31009611687812383,-0.044844290657439445,0.186082276047674,-0.186082276047674,0.15378700499807765,-0.044844290657439445
POINT (-58.969861910261784 -2.6556445586783353),C60L63,2024,CORTE SELETIVO,-0.044844290657439445,0.010396001537870049,0.0629911572472126,-0.19986159169550174,-0.04822760476739715,0.14173010380622836,0.019930795847750864,0.024605920799692427,-0.03254133025759323,0.05911572472126105,0.1929104190695886,0.09842368319876971,0.03254133025759323,-0.0629911572472126,-0.022206843521722412,-0.0629911572472126,-0.07111111111111111,-0.024605920799692427,0.07535563244905807,-0.0629911572472126,0.029773164167627833,0.11909265667051133,0.14173010380622836,0.22145328719723184,-0.019930795847750864,0.10340638216070744,0.14173010380622836,0.0271280276816609,-0.01574778931180315,0.029773164167627833,0.09356401384083046,-0.16000000000000003,-0.16000000000000003,0.006151480199923107,-0.17279507881584008,-0.019930795847750864,-0.14769703960015382,-0.041584006151480196,-0.2761399461745483,0.07535563244905807,-0.0629911572472126,0.1929104190695886,0.17279507881584008,-0.04822760476739715,0.05536332179930796,0.07111111111111111,-0.14769703960015382,-0.04822760476739715,-0.05911572472126105,-0.17279507881584008,0.22145328719723184,0.08882737408688965,0.0005536332179930795,0.15378700499807765,0.15378700499807765,0.15378700499807765,0.21413302575932336,0.029773164167627833,0.3553094963475586,-0.0271280276816609,0.13016532103037293,-0.14769703960015382,0.1929104190695886,-0.15378700499807765
POINT (-58.924047830771684 -2.6454037644393726),C60L63,2024,CORTE SELETIVO,-0.08421376393694734,0.041584006151480196,-0.03254133025759323,-0.11909265667051133,-0.022206843521722412,-0.008858131487889272,-0.029773164167627833,0.08421376393694734,-0.017777777777777778,0.07535563244905807,0.09356401384083046,0.14173010380622836,0.022206843521722412,-0.17937716262975778,-0.044844290657439445,-0.17279507881584008,-0.1929104190695886,-0.022206843521722412,0.12456747404844293,-0.05911572472126105,0.09356401384083046,0.08882737408688965,0.2288965782391388,0.28444444444444444,0.1085121107266436,0.08421376393694734,0.2069357939254133,-0.022206843521722412,-0.010396001537870049,-0.05536332179930796,0.16000000000000003,-0.1929104190695886,-0.13588619761630144,-0.05911572472126105,-0.17937716262975778,-0.019930795847750864,-0.1085121107266436,-0.09842368319876971,-0.24415224913494812,0.04822760476739715,-0.07535563244905807,0.2364628988850442,0.14769703960015382,-0.03254133025759323,0.14769703960015382,0.012056901191849288,-0.14769703960015382,-0.05911572472126105,-0.03543252595155709,-0.05536332179930796,0.24415224913494812,0.05536332179930796,0.03844675124951941,0.16000000000000003,0.03844675124951941,0.14173010380622836,0.16633602460592078,0.003014225297962322,0.2288965782391388,-0.06698961937716265,0.09842368319876971,-0.19986159169550174,0.0629911572472126,-0.05911572472126105
POINT (-58.9497396478975 -2.6028236199721073),C60L63,2024,CORTE SELETIVO,-0.041584006151480196,0.03254133025759323,-0.08421376393694734,-0.14769703960015382,-0.01384083044982699,0.0015378700499807767,-0.03254133025759323,0.041584006151480196,-0.03254133025759323,0.14173010380622836,0.12456747404844293,0.12456747404844293,0.003936947327950788,-0.12456747404844293,-0.022206843521722412,-0.14769703960015382,-0.15378700499807765,-0.041584006151480196,0.11374086889657825,-0.041584006151480196,0.08421376393694734,0.05911572472126105,0.2288965782391388,0.2761399461745483,0.11909265667051133,0.09356401384083046,0.2069357939254133,-0.024605920799692427,-0.004982698961937716,0.0015378700499807767,0.15378700499807765,-0.15378700499807765,-0.13016532103037293,-0.08882737408688965,-0.1929104190695886,-0.03543252595155709,-0.14769703960015382,-0.12456747404844293,-0.16633602460592078,0.11374086889657825,-0.06698961937716265,0.2364628988850442,0.13588619761630144,-0.05911572472126105,0.14173010380622836,-0.002214532871972318,-0.08882737408688965,-0.0629911572472126,-0.0629911572472126,-0.09842368319876971,0.28444444444444444,0.04822760476739715,0.03543252595155709,0.14173010380622836,0.05536332179930796,0.13016532103037293,0.17937716262975778,0.012056901191849288,0.2679584775086506,-0.12456747404844293,0.1085121107266436,-0.1929104190695886,0.10340638216070744,-0.06698961937716265
POINT (-58.96114825200582 -2.5953676031139157),C60L63,2024,CORTE SELETIVO,-0.03844675124951941,-0.03543252595155709,-0.012056901191849288,-0.186082276047674,-0.03543252595155709,0.06698961937716265,-0.024605920799692427,0.08421376393694734,-0.03254133025759323,0.13588619761630144,0.08882737408688965,0.11374086889657825,0.05536332179930796,-0.07535563244905807,-0.029773164167627833,-0.09356401384083046,-0.14173010380622836,0.03543252595155709,0.08421376393694734,-0.05536332179930796,0.05911572472126105,0.13016532103037293,0.13016532103037293,0.2679584775086506,0.03543252595155709,0.05911572472126105,0.15378700499807765,0.03254133025759323,0.012056901191849288,0.019930795847750864,0.09842368319876971,-0.16633602460592078,-0.17279507881584008,-0.01574778931180315,-0.24415224913494812,-0.03254133025759323,-0.12456747404844293,-0.10340638216070744,-0.186082276047674,0.11909265667051133,-0.07535563244905807,0.2599000384467512,0.16000000000000003,-0.0629911572472126,0.07111111111111111,0.010396001537870049,-0.13588619761630144,-0.05536332179930796,-0.08882737408688965,-0.13588619761630144,0.2599000384467512,0.0629911572472126,0.05911572472126105,0.10340638216070744,0.09356401384083046,0.21413302575932336,0.2069357939254133,0.05536332179930796,0.29287197231833906,0.017777777777777778,0.14173010380622836,-0.16000000000000003,0.13016532103037293,-0.16000000000000003
POINT (-58.875718468486056 -2.543804305805455),C60L63,2024,CORTE SELETIVO,-0.09356401384083046,-0.03543252595155709,-0.11909265667051133,-0.09356401384083046,-0.07111111111111111,-0.0629911572472126,-0.07111111111111111,0.09842368319876971,0.022206843521722412,0.10340638216070744,0.07972318339100345,0.08421376393694734,0.019930795847750864,-0.09842368319876971,0.05911572472126105,-0.09356401384083046,-0.09842368319876971,-0.07972318339100345,0.041584006151480196,-0.12456747404844293,0.12456747404844293,-0.029773164167627833,0.21413302575932336,0.2679584775086506,0.15378700499807765,0.09356401384083046,0.2364628988850442,-0.04822760476739715,0.004982698961937716,0.0015378700499807767,0.17937716262975778,-0.1929104190695886,-0.14173010380622836,-0.07111111111111111,-0.17279507881584008,-0.05536332179930796,-0.13016532103037293,-0.022206843521722412,-0.16000000000000003,0.07111111111111111,0.019930795847750864,0.21413302575932336,0.13016532103037293,-0.07972318339100345,0.15378700499807765,-0.08882737408688965,-0.09842368319876971,0.06698961937716265,-0.03543252595155709,-0.05911572472126105,0.3014225297962323,0.04822760476739715,0.044844290657439445,0.15378700499807765,0.11374086889657825,0.186082276047674,0.2069357939254133,-0.004982698961937716,0.2364628988850442,-0.0271280276816609,0.186082276047674,-0.16000000000000003,0.08421376393694734,0.05911572472126105
POINT (-58.98962484651241 -2.525299010952593),C60L63,2024,CORTE SELETIVO,-0.04822760476739715,-0.0271280276816609,-0.09842368319876971,-0.16000000000000003,-0.05173394848135333,-0.13016532103037293,-0.08882737408688965,0.09842368319876971,-0.0271280276816609,0.14769703960015382,0.041584006151480196,0.09842368319876971,0.003014225297962322,-0.09842368319876971,-0.019930795847750864,-0.14173010380622836,-0.1085121107266436,-0.01574778931180315,0.0629911572472126,-0.1085121107266436,0.07972318339100345,0.03844675124951941,0.17279507881584008,0.29287197231833906,0.15378700499807765,0.07535563244905807,0.16633602460592078,0.01384083044982699,0.012056901191849288,-0.008858131487889272,0.1929104190695886,-0.2288965782391388,-0.1929104190695886,-0.05911572472126105,-0.21413302575932336,-0.08421376393694734,-0.08421376393694734,-0.029773164167627833,-0.09842368319876971,0.11909265667051133,0.019930795847750864,0.2761399461745483,0.14769703960015382,-0.0629911572472126,0.10340638216070744,-0.05911572472126105,-0.16000000000000003,0.07535563244905807,-0.05911572472126105,-0.08882737408688965,0.2679584775086506,0.0629911572472126,0.13016532103037293,0.09842368319876971,0.07535563244905807,0.1929104190695886,0.16633602460592078,-0.0015378700499807767,0.19986159169550174,-0.007443291041906958,0.17937716262975778,-0.17937716262975778,0.017777777777777778,0.05536332179930796
