geometry,tile,label,year,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T125,T126,T127
POINT (-58.968918 -2.570764),C60L63,CORTE SELETIVO,2024,0.019304372,-0.0038608743,0.106174044,0.09845229,0.09073055,-0.04440006,-0.019304372,-0.02123481,0.030886995,0.092660986,0.02123481,-0.059843555,-0.06563486,-0.14864367,0.11196536,0.050191365,-0.06756531,0.14864367,-0.16022629,-0.050191365,0.08686968,0.09073055,0.06756531,-0.04440006,0.028956559,-0.052121807,-0.1814611,0.09845229,0.019304372,-0.01351306,0.02702612,-0.06756531,-0.06949574,-0.05405224,0.20655678,-0.02123481,0.08880012,-0.02123481,-0.06370442,-0.113895796,-0.009652186,-0.10038273,-0.009652186,0.07142618,0.03474787,0.017373934,-0.038608745,0.046330493,0.08880012,-0.106174044,0.028956559,0.17373936,-0.07914793,0.06563486,0.115826234,-0.059843555,-0.08493924,-0.106174044,0.11003492,-0.05405224,0.0077217487,-0.08107836,0.106174044,0.057913117,0.11775667,0.04826093,-0.036678307,-0.019304372,0.12547842,-0.046330493,0.050191365,0.04826093,0.07142618,-0.0019304372,0.009652186,0.02123481,0.025095683,0.16215672,0.050191365,-0.106174044,-0.04053918,-0.05405224,-0.1872524,-0.24516553,0.07528705,-0.09845229,0.17180891,0.02123481,0.03281743,-0.09073055,-0.015443497,0.02702612,0.04053918,-0.13126972,-0.030886995,0.07914793,-0.12354798,-0.0019304372,0.21234809,-0.059843555,-0.07142618,-0.13513061,-0.09845229,-0.16215672,-0.01351306,0.20269592,0.015443497,0.07914793,0.07914793,0.09845229,0.0077217487,0.030886995,-0.0077217487,-0.059843555,0.04246962,0.0,-0.094591424,0.059843555,-0.11003492,-0.07914793,-0.08107836,-0.12354798,-0.06756531,0.08493924,-0.13513061,0.057913117,0.009652186,0.07721749
POINT (-58.961109 -2.682798),C60L63,CORTE SELETIVO,2024,0.12411942,0.054843467,0.11834643,0.06350296,0.03463798,0.066389464,-0.04618397,0.011545992,-0.011545992,0.11257343,0.023091985,0.07216246,-0.09525444,-0.08659495,-0.040410973,0.07216246,-0.01731899,0.101027444,-0.10968693,0.037524477,0.09525444,0.10680044,0.11257343,-0.040410973,0.09814094,0.03463798,-0.12411942,0.16164389,0.005772996,-0.014432491,0.002886498,0.002886498,-0.080821946,0.008659495,0.11834643,-0.066389464,0.10391394,-0.09236794,-0.08370844,-0.11257343,0.06927596,-0.1587574,0.04907047,0.10391394,-0.028864982,0.080821946,-0.03175148,-0.011545992,0.17896289,-0.12700592,0.037524477,0.020205487,-0.06350296,0.005772996,0.12700592,0.11545993,-0.09525444,-0.09236794,0.09814094,-0.11545993,0.040410973,-0.043297473,0.11257343,0.13277893,0.07504895,-0.057729963,0.008659495,-0.023091985,0.043297473,-0.020205487,0.07793546,0.01731899,0.09236794,-0.008659495,-0.08370844,0.05195697,0.020205487,0.12411942,0.14143841,-0.011545992,0.020205487,-0.08659495,-0.36658525,-0.1500979,0.12411942,-0.014432491,0.01731899,-0.066389464,0.057729963,-0.005772996,0.060616463,-0.011545992,0.054843467,0.011545992,0.028864982,0.09236794,-0.06927596,-0.025978485,0.19916837,-0.14721142,-0.09236794,-0.04907047,-0.040410973,-0.028864982,-0.10968693,0.16164389,0.0,0.011545992,0.10968693,0.014432491,-0.01731899,-0.005772996,-0.057729963,-0.040410973,0.008659495,-0.04907047,-0.002886498,0.014432491,-0.028864982,-0.060616463,-0.18762238,-0.13855192,-0.11545993,0.07793546,-0.1703034,0.07216246,-0.011545992,0.002886498
POINT (-58.942123 -2.665271),C60L63,CORTE SELETIVO,2024,0.051720534,-0.01790326,0.14123684,0.013924759,-0.025860267,-0.07559155,-0.061666787,0.057688285,-0.08155931,0.061666787,0.067634545,0.009946256,-0.007957005,-0.16311862,0.027849518,0.14123684,-0.021881763,0.08354855,-0.15317236,-0.06564529,0.051720534,0.051720534,0.09349481,-0.061666787,0.113387324,0.029838769,-0.09548406,0.08951631,-0.01591401,-0.029838769,-0.057688285,0.0019892512,-0.09548406,-0.01790326,0.16112934,-0.08155931,0.07559155,-0.005967754,-0.11537657,-0.1472046,0.08354855,-0.059677538,0.067634545,0.12731208,0.027849518,0.057688285,-0.04575278,0.0019892512,0.19096813,-0.043763526,0.085537806,0.061666787,-0.097473316,-0.007957005,0.051720534,0.01591401,0.0,0.041774277,0.16908637,-0.113387324,0.009946256,-0.041774277,0.13526909,0.08155931,0.0736023,-0.11139807,-0.067634545,-0.1392476,0.10344107,0.019892512,0.09349481,0.061666787,0.061666787,0.01591401,-0.08354855,0.005967754,0.06564529,0.1392476,0.10344107,0.0019892512,0.03182802,-0.09349481,-0.2526349,-0.16510786,0.10940882,-0.01790326,0.051720534,-0.12333357,0.07161304,-0.021881763,-0.0039785025,-0.029838769,0.01591401,-0.04774203,0.019892512,0.057688285,-0.1750541,0.027849518,0.10543032,-0.051720534,-0.0696238,-0.027849518,-0.057688285,-0.107419565,-0.16510786,0.1670971,0.01591401,0.041774277,0.14322609,-0.013924759,-0.061666787,-0.005967754,-0.025860267,-0.10940882,-0.009946256,-0.0019892512,0.057688285,0.019892512,-0.019892512,-0.10344107,-0.17107561,-0.12333357,-0.14123684,0.01790326,-0.18500037,0.17107561,0.041774277,0.019892512
POINT (-58.942012 -2.665011),C60L63,CORTE SELETIVO,2024,0.10314592,-0.10314592,0.20056151,0.022921316,-0.060168456,-0.106011085,-0.028651644,0.017190987,-0.06876395,0.16044922,0.03151681,0.034381974,-0.042977467,-0.10887625,-0.028651644,0.071629114,0.028651644,0.040112305,-0.12606724,-0.040112305,0.017190987,0.08022461,0.08308978,-0.13466273,0.09455043,-0.034381974,-0.106011085,0.1461234,0.02578648,-0.028651644,-0.017190987,-0.02578648,-0.16617955,0.005730329,0.08308978,-0.091685265,0.060168456,-0.05157296,-0.15185373,-0.13179757,0.06303362,-0.08308978,0.085954934,0.08308978,-0.008595494,0.011460658,-0.034381974,0.057303287,0.106011085,-0.100280754,0.071629114,0.028651644,-0.097415596,-0.045842633,0.12033691,-0.008595494,0.0028651645,0.03151681,0.13179757,-0.05157296,0.042977467,-0.05157296,0.10314592,0.040112305,0.017190987,-0.13179757,-0.028651644,-0.020056153,0.12033691,0.034381974,0.14898856,-0.034381974,0.011460658,0.008595494,-0.077359445,-0.008595494,0.08308978,0.10887625,0.14898856,0.011460658,-0.011460658,-0.15185373,-0.36387593,-0.17477505,0.1461234,-0.022921316,-0.057303287,-0.11747175,0.060168456,0.017190987,0.011460658,-0.028651644,-0.020056153,-0.06303362,0.042977467,0.057303287,-0.16617955,0.077359445,0.15758404,-0.005730329,-0.020056153,-0.05157296,-0.008595494,-0.048707798,-0.114606574,0.14325823,-0.03151681,-0.0028651645,0.085954934,0.014325822,-0.085954934,-0.005730329,-0.057303287,-0.114606574,0.085954934,-0.0028651645,-0.040112305,-0.048707798,0.011460658,-0.048707798,-0.12606724,-0.1375279,-0.106011085,0.071629114,-0.12606724,0.06303362,-0.017190987,-0.045842633
POINT (-58.969881 -2.655682),C60L63,CORTE SELETIVO,2024,-0.015345987,-0.015345987,0.14578688,0.009591242,-0.06905694,0.0076729935,-0.03452847,0.040283218,-0.10166717,0.10358541,0.03836497,0.03836497,-0.049874462,-0.10358541,0.03452847,0.1304409,0.040283218,0.053710952,-0.1304409,0.14578688,0.026855476,0.028773725,0.046037965,-0.10934015,0.122767895,0.0556292,-0.12852265,0.028773725,0.107421905,-0.051792704,0.0,-0.0057547456,-0.10166717,-0.044119716,0.14386863,-0.1304409,0.0057547456,-0.10358541,-0.08632118,-0.16688761,0.080566436,-0.1112584,0.03836497,0.12660441,0.0556292,0.07864819,0.040283218,-0.015345987,0.14386863,-0.07481169,-0.047956213,0.0,-0.1150949,-0.080566436,-0.0019182484,0.10358541,-0.051792704,-0.0076729935,0.105503656,-0.06522045,0.080566436,0.017264236,0.07097519,0.15729637,0.099748924,-0.12660441,0.026855476,-0.12852265,0.017264236,0.023018982,0.09399418,0.03836497,0.0057547456,-0.0019182484,-0.122767895,0.07481169,-0.011509491,0.06522045,0.10934015,0.09399418,0.09591243,0.0,-0.24361755,-0.16305111,0.122767895,0.10166717,-0.023018982,-0.14578688,0.049874462,-0.0019182484,-0.044119716,-0.024937231,-0.015345987,-0.0556292,0.023018982,0.061383948,-0.17647886,-0.0594657,0.08823943,-0.049874462,-0.07289344,-0.026855476,0.047956213,-0.07481169,-0.18031536,0.05754745,-0.040283218,0.0019182484,0.20908907,0.024937231,-0.06522045,-0.03452847,-0.044119716,-0.07672994,0.061383948,-0.026855476,0.063302204,0.042201467,0.0038364967,-0.06905694,-0.13811389,-0.042201467,-0.17264237,-0.0594657,-0.2186803,0.13811389,-0.047956213,-0.044119716
POINT (-58.924013 -2.645399),C60L63,CORTE SELETIVO,2024,0.15999469,-0.15528896,0.14352465,0.058821578,-0.07058589,-0.039998673,-0.011764315,0.0,-0.03764581,0.0635273,-0.009411452,0.09176166,-0.0894088,-0.110584565,-0.016470043,0.002352863,-0.10352598,0.14587751,-0.14823037,0.011764315,0.058821578,0.105878845,0.0823502,-0.0447044,0.18352333,0.07529162,-0.09411452,0.21881627,0.025881495,-0.049410123,0.0070585893,-0.030587219,-0.14352465,0.0070585893,0.011764315,-0.039998673,0.0894088,-0.15528896,0.002352863,-0.105878845,0.11293743,-0.18117046,0.025881495,0.03764581,-0.02352863,0.030587219,0.03764581,0.028234357,0.12940747,-0.07764448,0.0447044,0.1082317,-0.08705594,-0.025881495,0.018822905,-0.009411452,-0.072938755,0.004705726,0.14823037,-0.08705594,0.0070585893,0.0447044,0.056468714,0.0894088,0.0447044,-0.009411452,0.030587219,-0.028234357,0.032940086,0.05176299,0.05411585,-0.056468714,0.0141171785,-0.110584565,-0.030587219,0.0141171785,0.10117311,0.058821578,0.124701746,0.011764315,-0.0894088,-0.11999601,-0.2988136,-0.1341132,0.18352333,-0.07529162,0.021175766,-0.07058589,0.02352863,0.025881495,0.021175766,-0.039998673,0.06823303,-0.009411452,0.06588017,0.039998673,-0.105878845,0.08705594,0.10117311,0.016470043,-0.079997346,0.032940086,0.0,0.028234357,0.021175766,0.22822772,-0.0823502,0.0141171785,0.1082317,0.016470043,0.011764315,-0.0635273,-0.09176166,-0.049410123,0.16705327,-0.004705726,-0.06823303,0.072938755,-0.03764581,-0.110584565,-0.14352465,-0.1082317,-0.105878845,-0.05411585,-0.117643155,0.117643155,0.016470043,0.042351533
POINT (-58.949729 -2.602803),C60L63,CORTE SELETIVO,2024,0.061460562,0.094554715,0.125285,0.023638679,0.021274809,0.021274809,-0.04964122,0.04964122,-0.030730281,0.13001274,0.052005094,0.028366415,-0.0661883,-0.15128754,0.070916034,0.0661883,-0.035458017,0.125285,-0.07800764,-0.0023638678,0.05673283,0.08037151,0.13474047,0.0,0.07800764,0.03309415,-0.15837915,0.11819339,0.028366415,-0.070916034,0.018910943,-0.061460562,-0.04964122,-0.030730281,0.106374055,-0.04964122,0.09691858,-0.10873792,-0.14419593,-0.14183207,0.070916034,-0.11582952,0.0661883,0.12764886,0.04964122,0.068552166,-0.061460562,-0.04491349,0.1843817,-0.120557256,0.018910943,0.06382443,-0.070916034,-0.014183207,0.08982698,0.068552166,-0.028366415,-0.0661883,0.13710433,-0.106374055,0.021274809,-0.018910943,0.061460562,0.1465598,0.120557256,-0.11346566,-0.021274809,-0.018910943,0.0661883,-0.042549618,0.021274809,0.04964122,0.106374055,-0.042549618,-0.04491349,0.037821885,0.021274809,0.14892367,0.10873792,-0.011819339,0.040185753,-0.05436896,-0.30021122,-0.12764886,0.10873792,0.05436896,0.04491349,-0.06382443,0.028366415,-0.07564377,0.021274809,-0.0047277356,0.11346566,-0.052005094,0.018910943,0.08746311,-0.11819339,-0.037821885,0.1465598,-0.10873792,-0.10164631,-0.070916034,-0.05673283,-0.08746311,-0.16074301,0.16547073,0.0023638678,0.05673283,0.12764886,0.042549618,-0.018910943,-0.011819339,-0.009455471,-0.085099235,-0.0070916037,-0.04964122,-0.037821885,0.014183207,-0.018910943,-0.068552166,-0.19620104,-0.106374055,-0.120557256,0.061460562,-0.18674555,0.120557256,0.016547075,0.03309415
POINT (-58.961167 -2.595393),C60L63,CORTE SELETIVO,2024,0.10710804,-0.066049956,0.17137288,-0.0035702682,-0.02320674,-0.0053554024,-0.06962023,0.0,-0.06247969,0.08747157,0.066049956,-0.05712429,-0.08390129,-0.13031478,0.04284322,0.0892567,-0.032132413,0.11424858,-0.103537776,0.016066207,0.058909424,0.024991877,0.10532291,-0.055339154,0.12495938,0.051768888,-0.11424858,0.17137288,0.058909424,-0.06962023,0.04284322,-0.01785134,-0.10710804,-0.049983755,0.08033103,-0.032132413,0.11603371,-0.15352151,-0.06426483,-0.13924046,0.09639724,-0.21778636,0.03927295,0.06962023,-0.016066207,-0.0053554024,-0.037487812,-0.10175264,0.12138911,-0.11603371,0.04462835,0.12138911,-0.09282696,0.0035702682,0.04641348,0.041058082,-0.13567019,0.016066207,0.14102559,-0.055339154,0.010710805,-0.033917546,0.04462835,0.16423233,0.094612114,-0.02320674,0.04462835,-0.019636475,0.16423233,0.041058082,0.0017851341,-0.04641348,0.082116164,-0.05712429,-0.024991877,0.02142161,0.02677701,0.10710804,0.11603371,0.0053554024,-0.024991877,-0.06247969,-0.22314174,-0.17672826,0.13209991,-0.00892567,0.03570268,-0.02142161,0.09639724,0.0071405363,-0.012495939,-0.032132413,0.0892567,-0.030347278,0.02677701,0.060694557,-0.17494313,0.0071405363,0.22671203,-0.060694557,-0.03927295,0.010710805,-0.04819862,-0.06783509,-0.10889318,0.13567019,-0.0071405363,0.06962023,0.17494313,-0.010710805,0.0035702682,-0.014281073,-0.012495939,-0.074975625,0.08568644,-0.04462835,-0.058909424,0.08390129,-0.049983755,0.00892567,-0.13745531,-0.13209991,-0.0785459,0.030347278,-0.1785134,0.13209991,0.06962023,0.033917546
POINT (-58.875729 -2.543763),C60L63,CORTE SELETIVO,2024,0.07797292,-0.058905266,0.100167364,0.099496305,0.052022662,0.041695867,-0.00088365714,-0.11362432,0.07940638,0.1675692,0.023369443,0.011936996,-0.076570466,-0.093420304,0.005398306,0.03231131,-0.052627217,0.1078597,-0.13656451,-0.00229502,0.05240826,0.07114511,0.08792473,-0.07725946,0.09816462,-0.008624621,-0.124883994,0.17822248,-0.06028151,-0.08906392,-0.011218379,-0.11189259,-0.050886735,-0.057316475,0.12003383,0.021847626,0.15948866,-0.13497981,-0.051974833,-0.056179203,0.053097874,-0.24431713,-0.06348255,-0.019883629,0.01013417,-0.004453824,-0.014063057,0.024270745,0.027261553,-0.14208472,0.0850825,0.06990002,-0.122498676,0.03666363,0.18561313,-0.07431133,-0.14203367,-0.02236095,0.10099169,-0.03310968,0.033279978,-0.008314714,0.063174374,0.18651488,0.05914567,0.12679517,0.02998601,0.039041564,0.11298585,-0.024039593,-0.030549647,0.038014907,0.02378663,-0.1189031,-0.03440423,0.02655603,0.039104722,0.009385823,0.07986023,-0.09945621,-0.10241911,-0.036672845,-0.24955544,-0.14004114,0.12732644,-0.07253482,0.14443028,0.0042231204,0.05253093,-0.022959381,-0.0026561667,-0.0123004615,0.03580746,-0.046037573,0.06303012,0.12236396,-0.08391976,0.01153346,0.15021898,-0.08675768,-0.087976895,-0.09685792,-0.094189174,-0.046762686,0.11172498,0.14101094,-0.08038322,0.042754248,0.058366276,0.023879731,0.07469779,-0.026163487,-0.07221849,-0.010846733,0.12245622,0.014749402,-0.08364277,0.022237115,-0.10925544,-0.07934936,-0.1416476,-0.17603533,-0.03708945,0.026102068,-0.09186842,0.066217124,0.06724706,0.003553147
POINT (-58.989607 -2.525329),C60L63,CORTE SELETIVO,2024,0.15099816,-0.10276263,0.11534581,0.08808226,-0.0062915897,-0.020971967,-0.0062915897,-0.1258318,0.025166359,0.10485983,0.09227665,0.033555146,-0.0629159,-0.09227665,-0.0062915897,0.010485983,-0.052429914,0.13841498,-0.15099816,0.020971967,0.11115142,0.058721505,0.08808226,-0.1237346,0.1195402,-0.065013096,-0.058721505,0.1866505,-0.060818702,-0.054527115,0.010485983,-0.0629159,-0.13631777,-0.041943934,0.033555146,0.020971967,0.11324862,-0.16148414,-0.025166359,-0.065013096,0.07340188,-0.21391405,-0.01887477,-0.016777573,0.025166359,-0.0020971966,0.100665435,-0.0629159,0.014680376,-0.15938693,0.03774954,0.029360753,-0.1321234,0.014680376,0.100665435,0.008388787,-0.13422059,0.016777573,0.14470656,0.039846733,-0.03145795,-0.04823552,0.1195402,0.15519255,0.052429914,0.052429914,0.054527115,0.050332718,0.17197011,-0.016777573,-0.0020971966,-0.08179067,0.0020971966,-0.039846733,0.05662431,-0.052429914,0.08808226,0.054527115,0.094373845,-0.08179067,-0.16567853,-0.08179067,-0.26634398,-0.1237346,0.13002619,-0.094373845,0.0062915897,0.029360753,0.060818702,-0.0020971966,-0.046138324,-0.035652343,0.052429914,-0.09227665,0.03145795,0.033555146,-0.08808226,0.033555146,0.19713649,0.052429914,-0.029360753,0.016777573,-0.04404113,0.03774954,0.046138324,0.14470656,-0.10905423,0.07759628,0.098568246,0.07340188,0.046138324,0.039846733,0.01887477,0.016777573,0.1258318,-0.012583179,-0.13422059,0.13631777,-0.11324862,-0.023069162,-0.08179067,-0.106957026,0.008388787,-0.023069162,-0.0629159,0.07340188,0.121637404,-0.0020971966
