geometry,year,label,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63
POINT (-61.148815463422096 -8.095213098607275),2024,Deter_Deg_CsG,-0.06698961937716265,0.022206843521722412,-0.14769703960015382,-0.06698961937716265,-0.07535563244905807,-0.10340638216070744,0.008858131487889272,0.11374086889657825,-0.07535563244905807,0.11909265667051133,0.04822760476739715,0.13588619761630144,0.05173394848135333,-0.11374086889657825,0.01574778931180315,-0.16000000000000003,-0.12456747404844293,-0.11374086889657825,0.04822760476739715,-0.11374086889657825,0.14173010380622836,-0.004982698961937716,0.17937716262975778,0.39369473279507883,0.08882737408688965,0.1085121107266436,0.21413302575932336,-0.006151480199923107,0.07111111111111111,-0.08882737408688965,0.19986159169550174,-0.19986159169550174,-0.09356401384083046,-0.07972318339100345,-0.11374086889657825,0.002214532871972318,-0.13588619761630144,0.01574778931180315,-0.19986159169550174,0.022206843521722412,-0.0271280276816609,0.21413302575932336,0.1085121107266436,-0.041584006151480196,0.19986159169550174,-0.07972318339100345,-0.14769703960015382,-0.06698961937716265,0.003936947327950788,-0.0271280276816609,0.2599000384467512,0.0629911572472126,0.029773164167627833,0.1929104190695886,0.003014225297962322,0.11374086889657825,0.11909265667051133,-0.03254133025759323,0.17279507881584008,0.007443291041906958,0.09356401384083046,-0.22145328719723184,0.007443291041906958,-0.03254133025759323
POINT (-61.148815463422096 -8.095123267078861),2024,Deter_Deg_CsG,-0.07111111111111111,0.0271280276816609,-0.14769703960015382,-0.07111111111111111,-0.07972318339100345,-0.10340638216070744,0.010396001537870049,0.1085121107266436,-0.07535563244905807,0.11909265667051133,0.044844290657439445,0.13588619761630144,0.05536332179930796,-0.11374086889657825,0.017777777777777778,-0.16000000000000003,-0.12456747404844293,-0.11374086889657825,0.05173394848135333,-0.11374086889657825,0.14173010380622836,-0.003936947327950788,0.186082276047674,0.39369473279507883,0.08882737408688965,0.11374086889657825,0.21413302575932336,-0.008858131487889272,0.07111111111111111,-0.08882737408688965,0.19986159169550174,-0.19986159169550174,-0.08882737408688965,-0.07972318339100345,-0.11374086889657825,0.0005536332179930795,-0.13588619761630144,0.017777777777777778,-0.19986159169550174,0.019930795847750864,-0.024605920799692427,0.21413302575932336,0.10340638216070744,-0.041584006151480196,0.2069357939254133,-0.07972318339100345,-0.14769703960015382,-0.0629911572472126,0.007443291041906958,-0.0271280276816609,0.2519646289888504,0.0629911572472126,0.0271280276816609,0.1929104190695886,0.007443291041906958,0.11374086889657825,0.11909265667051133,-0.03543252595155709,0.17279507881584008,0.003936947327950788,0.09356401384083046,-0.22145328719723184,0.010396001537870049,-0.029773164167627833
POINT (-61.15968507835994 -8.108059007170183),2024,Deter_Deg_CsG,-0.03543252595155709,-0.041584006151480196,-0.07111111111111111,-0.12456747404844293,-0.07972318339100345,0.1085121107266436,0.017777777777777778,0.09356401384083046,-0.029773164167627833,0.041584006151480196,0.16633602460592078,0.1085121107266436,0.08882737408688965,-0.008858131487889272,-0.019930795847750864,-0.07111111111111111,-0.07111111111111111,-0.03844675124951941,0.03543252595155709,-0.1085121107266436,0.07972318339100345,0.05911572472126105,0.0271280276816609,0.2599000384467512,-0.05911572472126105,0.08421376393694734,0.2069357939254133,0.05173394848135333,0.1085121107266436,-0.0271280276816609,0.05536332179930796,-0.10340638216070744,-0.186082276047674,0.01574778931180315,-0.15378700499807765,0.010396001537870049,-0.17279507881584008,-0.01574778931180315,-0.2679584775086506,0.07535563244905807,-0.05173394848135333,0.21413302575932336,0.15378700499807765,-0.006151480199923107,0.1085121107266436,0.01384083044982699,-0.09356401384083046,-0.09842368319876971,-0.09842368319876971,-0.17279507881584008,0.1929104190695886,0.044844290657439445,-0.05173394848135333,0.12456747404844293,0.08421376393694734,0.16000000000000003,0.13016532103037293,-0.01384083044982699,0.39369473279507883,-0.004982698961937716,0.186082276047674,-0.16000000000000003,0.19986159169550174,-0.22145328719723184
POINT (-61.15959524683153 -8.108059007170183),2024,Deter_Deg_CsG,-0.044844290657439445,-0.0629911572472126,-0.11909265667051133,-0.10340638216070744,-0.08882737408688965,0.03254133025759323,0.003936947327950788,0.11374086889657825,-0.07111111111111111,0.08421376393694734,0.13588619761630144,0.10340638216070744,0.07972318339100345,-0.01574778931180315,-0.03844675124951941,-0.13588619761630144,-0.08882737408688965,-0.05536332179930796,0.041584006151480196,-0.07972318339100345,0.09842368319876971,0.0271280276816609,0.10340638216070744,0.28444444444444444,-0.019930795847750864,0.07972318339100345,0.2069357939254133,0.003936947327950788,0.09356401384083046,-0.044844290657439445,0.12456747404844293,-0.14173010380622836,-0.1929104190695886,-0.006151480199923107,-0.15378700499807765,0.01384083044982699,-0.17937716262975778,-0.004982698961937716,-0.24415224913494812,0.03844675124951941,-0.017777777777777778,0.22145328719723184,0.14173010380622836,-0.05536332179930796,0.11909265667051133,-0.019930795847750864,-0.1085121107266436,-0.08882737408688965,-0.09356401384083046,-0.15378700499807765,0.21413302575932336,0.06698961937716265,-0.01384083044982699,0.15378700499807765,0.05536332179930796,0.17937716262975778,0.11374086889657825,-0.003936947327950788,0.3553094963475586,0.004982698961937716,0.17279507881584008,-0.17937716262975778,0.186082276047674,-0.15378700499807765
POINT (-61.159505415303116 -8.108059007170183),2024,Deter_Deg_CsG,-0.05911572472126105,-0.044844290657439445,-0.11909265667051133,-0.08882737408688965,-0.08421376393694734,0.01384083044982699,-0.007443291041906958,0.12456747404844293,-0.06698961937716265,0.09356401384083046,0.11374086889657825,0.11374086889657825,0.07972318339100345,-0.029773164167627833,-0.03844675124951941,-0.14173010380622836,-0.11374086889657825,-0.041584006151480196,0.05173394848135333,-0.07111111111111111,0.1085121107266436,0.022206843521722412,0.11374086889657825,0.31009611687812383,-0.0005536332179930795,0.09356401384083046,0.22145328719723184,0.004982698961937716,0.09356401384083046,-0.07535563244905807,0.14173010380622836,-0.14173010380622836,-0.17937716262975778,-0.00024605920799692423,-0.13588619761630144,0.006151480199923107,-0.17279507881584008,-0.0015378700499807767,-0.2519646289888504,0.008858131487889272,-0.017777777777777778,0.22145328719723184,0.14173010380622836,-0.03844675124951941,0.14173010380622836,-0.019930795847750864,-0.11374086889657825,-0.08882737408688965,-0.08421376393694734,-0.1085121107266436,0.1929104190695886,0.04822760476739715,-0.008858131487889272,0.17279507881584008,0.05536332179930796,0.19986159169550174,0.11374086889657825,-0.017777777777777778,0.3278123798539023,-0.008858131487889272,0.16633602460592078,-0.186082276047674,0.17279507881584008,-0.15378700499807765
POINT (-61.15977490988835 -8.108059007170183),2024,Deter_Deg_CsG,-0.03844675124951941,-0.03543252595155709,-0.07111111111111111,-0.11909265667051133,-0.08421376393694734,0.11909265667051133,0.019930795847750864,0.08421376393694734,-0.03254133025759323,0.03844675124951941,0.17279507881584008,0.11374086889657825,0.08421376393694734,-0.019930795847750864,-0.01384083044982699,-0.07111111111111111,-0.07535563244905807,-0.03254133025759323,0.03254133025759323,-0.09356401384083046,0.07972318339100345,0.0629911572472126,0.03254133025759323,0.2679584775086506,-0.05911572472126105,0.07972318339100345,0.2069357939254133,0.05536332179930796,0.1085121107266436,-0.03543252595155709,0.05536332179930796,-0.09842368319876971,-0.17279507881584008,0.01574778931180315,-0.14173010380622836,0.022206843521722412,-0.17279507881584008,-0.022206843521722412,-0.2761399461745483,0.07535563244905807,-0.0629911572472126,0.21413302575932336,0.14769703960015382,0.002214532871972318,0.11909265667051133,0.01384083044982699,-0.08421376393694734,-0.11374086889657825,-0.09842368319876971,-0.16633602460592078,0.186082276047674,0.03844675124951941,-0.0629911572472126,0.12456747404844293,0.08882737408688965,0.16000000000000003,0.12456747404844293,-0.019930795847750864,0.3839138792772011,-0.01574778931180315,0.17937716262975778,-0.15378700499807765,0.2069357939254133,-0.2288965782391388
POINT (-61.15977490988835 -8.10796917564177),2024,Deter_Deg_CsG,-0.03254133025759323,-0.044844290657439445,-0.07972318339100345,-0.11909265667051133,-0.07535563244905807,0.09842368319876971,0.007443291041906958,0.08882737408688965,-0.03254133025759323,0.05536332179930796,0.15378700499807765,0.12456747404844293,0.08421376393694734,-0.022206843521722412,-0.022206843521722412,-0.07972318339100345,-0.08882737408688965,0.0015378700499807767,0.041584006151480196,-0.09842368319876971,0.09356401384083046,0.08882737408688965,0.022206843521722412,0.28444444444444444,-0.05536332179930796,0.0629911572472126,0.1929104190695886,0.07111111111111111,0.12456747404844293,-0.044844290657439445,0.05536332179930796,-0.10340638216070744,-0.1929104190695886,0.029773164167627833,-0.14769703960015382,0.012056901191849288,-0.16000000000000003,-0.024605920799692427,-0.2599000384467512,0.07535563244905807,-0.07535563244905807,0.22145328719723184,0.16633602460592078,0.007443291041906958,0.1085121107266436,0.019930795847750864,-0.09356401384083046,-0.11374086889657825,-0.09842368319876971,-0.15378700499807765,0.186082276047674,0.03844675124951941,-0.03543252595155709,0.1085121107266436,0.07972318339100345,0.16633602460592078,0.1085121107266436,-0.01384083044982699,0.37425605536332185,-0.006151480199923107,0.17937716262975778,-0.16000000000000003,0.19986159169550174,-0.2364628988850442
POINT (-61.15977490988835 -8.107879344113359),2024,Deter_Deg_CsG,-0.03254133025759323,-0.08421376393694734,-0.14173010380622836,-0.11374086889657825,-0.07972318339100345,0.003014225297962322,-0.019930795847750864,0.07535563244905807,-0.05911572472126105,0.1085121107266436,0.09842368319876971,0.13016532103037293,0.06698961937716265,-0.017777777777777778,-0.04822760476739715,-0.09842368319876971,-0.10340638216070744,-0.000984236831987697,0.044844290657439445,-0.07535563244905807,0.14173010380622836,0.09356401384083046,0.0629911572472126,0.3014225297962323,-0.03543252595155709,0.041584006151480196,0.19986159169550174,0.044844290657439445,0.11909265667051133,-0.0629911572472126,0.1085121107266436,-0.16000000000000003,-0.2364628988850442,-0.03543252595155709,-0.17279507881584008,-0.012056901191849288,-0.16000000000000003,-0.017777777777777778,-0.1929104190695886,0.05911572472126105,-0.05911572472126105,0.24415224913494812,0.16633602460592078,-0.019930795847750864,0.1085121107266436,0.010396001537870049,-0.08421376393694734,-0.07535563244905807,-0.13016532103037293,-0.14173010380622836,0.22145328719723184,0.03543252595155709,0.019930795847750864,0.08882737408688965,0.05173394848135333,0.1929104190695886,0.08421376393694734,0.01384083044982699,0.31009611687812383,0.024605920799692427,0.2069357939254133,-0.186082276047674,0.15378700499807765,-0.1929104190695886
POINT (-61.15968507835994 -8.10796917564177),2024,Deter_Deg_CsG,-0.03254133025759323,-0.041584006151480196,-0.07535563244905807,-0.11909265667051133,-0.07111111111111111,0.08882737408688965,0.003014225297962322,0.09842368319876971,-0.03543252595155709,0.05911572472126105,0.14769703960015382,0.12456747404844293,0.07972318339100345,-0.019930795847750864,-0.029773164167627833,-0.08421376393694734,-0.09356401384083046,0.007443291041906958,0.044844290657439445,-0.10340638216070744,0.09842368319876971,0.08882737408688965,0.019930795847750864,0.29287197231833906,-0.04822760476739715,0.07111111111111111,0.1929104190695886,0.07535563244905807,0.11909265667051133,-0.05173394848135333,0.0629911572472126,-0.11374086889657825,-0.2069357939254133,0.03543252595155709,-0.14173010380622836,-0.000984236831987697,-0.16000000000000003,-0.022206843521722412,-0.2599000384467512,0.0629911572472126,-0.06698961937716265,0.22145328719723184,0.17279507881584008,0.006151480199923107,0.1085121107266436,0.024605920799692427,-0.09356401384083046,-0.10340638216070744,-0.09842368319876971,-0.14173010380622836,0.17937716262975778,0.041584006151480196,-0.024605920799692427,0.10340638216070744,0.07972318339100345,0.17279507881584008,0.11374086889657825,-0.012056901191849288,0.37425605536332185,-0.003014225297962322,0.186082276047674,-0.16633602460592078,0.1929104190695886,-0.2288965782391388
POINT (-61.15959524683153 -8.10832850175542),2024,Deter_Deg_CsG,-0.05911572472126105,-0.022206843521722412,-0.17937716262975778,-0.05911572472126105,-0.07111111111111111,-0.003936947327950788,-0.003936947327950788,0.09356401384083046,-0.0629911572472126,0.10340638216070744,0.10340638216070744,0.11374086889657825,0.04822760476739715,-0.041584006151480196,-0.0271280276816609,-0.14769703960015382,-0.11374086889657825,-0.041584006151480196,0.07111111111111111,-0.03844675124951941,0.15378700499807765,0.0271280276816609,0.15378700499807765,0.3278123798539023,0.024605920799692427,0.10340638216070744,0.2519646289888504,-0.019930795847750864,0.09842368319876971,-0.13016532103037293,0.17937716262975778,-0.16633602460592078,-0.17937716262975778,-0.03844675124951941,-0.13016532103037293,0.010396001537870049,-0.16633602460592078,0.022206843521722412,-0.22145328719723184,-0.01574778931180315,-0.019930795847750864,0.1929104190695886,0.13016532103037293,-0.029773164167627833,0.1929104190695886,-0.017777777777777778,-0.0629911572472126,-0.03543252595155709,-0.09842368319876971,-0.041584006151480196,0.19986159169550174,0.008858131487889272,-0.0015378700499807767,0.1929104190695886,0.07535563244905807,0.1929104190695886,0.07111111111111111,-0.017777777777777778,0.2679584775086506,-0.03844675124951941,0.17937716262975778,-0.1929104190695886,0.14769703960015382,-0.12456747404844293
