geometry,label,year,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T125,T126,T127
POINT (-61.153722 -8.090331),Deter_Deg_CsG,2024,2.2424002,0.47208422,2.006358,1.2982316,0.8261474,1.6522948,-1.7113053,-0.118021056,-0.29505265,5.369958,-1.2392211,0.118021056,-4.0717263,-4.897874,1.1212001,1.6522948,-4.661832,1.5342737,-1.2392211,1.9473474,0.7081263,2.6554737,1.3572421,-1.3572421,4.6028214,2.7734947,-3.3636,5.1929264,1.8293264,-1.5932842,0.4130737,-2.5374527,-2.0653684,0.23604211,0.5901053,-1.2982316,1.5932842,-3.5996423,-1.2982316,-0.88515794,2.006358,-4.366779,-0.118021056,1.8293264,0.0,-1.7113053,0.6491158,-2.7734947,-0.17703158,-1.1212001,2.4194317,1.5932842,0.53109473,1.6522948,0.6491158,0.94416845,-1.4162526,-2.7734947,6.7862105,-2.0653684,-0.23604211,-0.35406315,2.0653684,3.7766738,1.3572421,3.4226105,1.8293264,4.42579,-0.47208422,1.2392211,-0.7081263,1.8883369,5.251937,-2.2424002,-2.891516,-1.9473474,1.5342737,0.29505265,2.006358,-1.7113053,-2.0653684,-1.0621895,-4.543811,-1.3572421,0.8261474,-1.003179,3.6586528,-3.3636,-0.53109473,-0.47208422,0.118021056,-1.9473474,1.6522948,1.7113053,2.7734947,2.7734947,-1.2392211,0.94416845,3.9537053,-1.1802106,-4.3077683,-1.9473474,-0.88515794,-1.4162526,0.53109473,2.1833894,3.0685475,0.7671369,1.003179,0.94416845,2.2424002,-2.891516,-1.0621895,-2.1833894,2.4784422,-1.003179,-3.127558,4.1897473,-4.0717263,-4.661832,-2.7144842,-3.8946948,-7.494337,2.124379,-2.7144842,0.7081263,5.015895,-0.35406315
POINT (-61.153631 -8.090331),Deter_Deg_CsG,2024,2.7152758,-0.8485236,2.093025,1.0182284,-0.113136485,0.2828412,-0.22627297,-0.5091142,-1.2445014,4.016345,-1.1313648,0.22627297,-4.18605,-4.695164,0.113136485,0.3959777,-3.6769357,0.45254594,0.0,2.3758662,1.3010696,2.6587074,1.3576379,-1.4707743,4.412323,3.3940945,-2.2061615,5.883097,1.9798884,-0.8485236,0.6222507,-2.3758662,-2.319298,0.056568243,0.8485236,-2.319298,1.866752,-3.5637994,-0.5656824,-1.7536155,2.093025,-5.600256,0.113136485,0.7919554,-0.67881894,-1.0182284,0.3959777,-1.8101838,0.056568243,-1.8101838,1.1313648,1.4707743,0.73538715,0.22627297,0.6222507,1.1879331,-1.1879331,-2.4324343,7.127599,-0.8485236,-0.3959777,-0.5091142,0.5656824,4.355755,0.96166015,1.7536155,1.0747966,4.8083005,0.7919554,1.6404791,-0.5656824,1.4707743,5.14771,-3.054685,-2.319298,-2.771844,0.8485236,-0.113136485,3.2243898,-0.22627297,-3.054685,-1.6970472,-4.5254593,-1.6404791,0.67881894,-1.5273426,1.6404791,-2.998117,-0.2828412,-0.5091142,0.67881894,-1.9233203,1.3010696,0.7919554,2.8849804,2.319298,-1.7536155,2.149593,3.3375263,0.8485236,-3.9597769,-1.3576379,0.056568243,-1.8101838,0.96166015,2.4890027,3.2809582,1.3010696,0.9050919,1.7536155,2.093025,-2.3758662,-0.22627297,-2.4890027,4.7517323,-1.1879331,-2.6021392,4.8083005,-4.7517323,-4.8083005,-1.8101838,-3.5637994,-7.184167,0.6222507,-2.149593,-0.73538715,5.3174148,-0.3959777
POINT (-61.153722 -8.090422),Deter_Deg_CsG,2024,2.0453084,1.4515091,2.111286,1.055643,1.253576,0.9236876,-1.1216207,0.065977685,0.065977685,5.4761477,-1.055643,0.5278215,-3.4968174,-5.5421257,1.8473752,2.1772635,-4.816371,2.4411743,-1.253576,1.1216207,0.0,2.507152,1.1216207,-1.055643,3.1669288,2.4411743,-3.6287727,5.014304,1.3855314,-1.3855314,0.32988843,-2.309219,-1.6494421,0.19793305,2.0453084,-1.9793305,1.8473752,-2.507152,-2.0453084,-0.98966527,2.0453084,-4.354527,0.7917322,2.9030182,0.9236876,-1.1875983,0.32988843,-2.6391075,0.9236876,-0.65977687,1.3195537,1.4515091,1.5834644,2.507152,1.1216207,1.3195537,-1.1875983,-4.0906167,6.003969,-3.562795,0.26391074,-1.9793305,3.1009512,2.8370404,1.055643,2.2432413,1.7813975,3.364862,-0.4618438,0.4618438,-0.7917322,2.705085,5.6081033,-1.7813975,-3.1009512,-1.5834644,0.65977687,1.9793305,3.1009512,-1.3195537,-1.7813975,0.0,-6.2019024,-2.111286,1.1875983,-1.3855314,3.4308395,-3.4308395,-1.1875983,-1.6494421,-0.32988843,-1.055643,1.6494421,2.111286,1.5174868,2.507152,-1.9793305,0.5937992,3.7607281,-2.4411743,-3.562795,-2.6391075,-1.3195537,-2.111286,-0.19793305,2.8370404,2.7710629,0.19793305,1.7154198,0.98966527,1.6494421,-1.5834644,-1.5834644,-1.1216207,1.8473752,-0.65977687,-2.3751967,4.0246387,-4.4864826,-4.55246,-2.6391075,-3.0349736,-8.379166,1.3855314,-3.4968174,-0.9236876,3.2329066,0.4618438
POINT (-61.153631 -8.090422),Deter_Deg_CsG,2024,2.9160547,1.1016207,1.0368195,1.1664219,1.5552292,0.907217,-1.1664219,0.8424158,-0.12960243,4.2768803,-1.1664219,1.0368195,-3.888073,-4.6008863,0.5184097,0.4536085,-4.0176754,2.6568499,-0.12960243,1.6848316,1.1664219,2.5920486,1.6200304,-1.7496328,3.9528742,2.2032413,-3.7584705,5.702507,1.5552292,-0.19440365,0.5184097,-1.8792353,-2.0088377,0.97201824,0.19440365,-1.1664219,2.3328438,-2.5272474,-1.3608255,-1.7496328,1.3608255,-4.536085,0.12960243,2.4624462,0.0,-1.0368195,0.7128134,-2.5920486,0.58321095,-2.0088377,0.7776146,1.0368195,0.907217,1.4256268,1.6848316,0.907217,-0.64801216,-2.980856,6.7393265,-1.9440365,0.32400608,-1.1016207,1.6200304,4.2768803,0.5184097,2.7864523,1.5552292,5.119296,0.64801216,0.8424158,0.58321095,1.7496328,4.860091,-3.2400608,-2.397645,-2.2032413,1.9440365,0.3888073,2.980856,-0.3888073,-2.2680426,-0.8424158,-6.350519,-0.97201824,1.1016207,-0.64801216,2.3328438,-3.628868,-1.5552292,-0.4536085,0.7128134,-2.073639,1.7496328,1.3608255,2.3328438,3.0456572,-1.7496328,0.32400608,3.9528742,-0.8424158,-4.2768803,-1.4256268,-0.64801216,-1.6848316,0.64801216,2.9160547,2.980856,0.0,1.8792353,1.6200304,2.0088377,-1.6848316,-0.32400608,-1.1016207,3.4992657,-1.6848316,-3.888073,5.1840973,-4.730489,-4.9248924,-2.4624462,-2.5920486,-8.229754,1.1016207,-2.0088377,-0.58321095,4.536085,0.0
POINT (-61.153541 -8.090422),Deter_Deg_CsG,2024,2.9777305,0.6871686,1.7179215,0.51537645,1.4316012,1.7179215,0.1145281,0.05726405,-0.51537645,3.493107,-1.5461293,1.5461293,-4.4665956,-5.039236,-0.05726405,1.202545,-3.8939552,1.9469776,-0.40084833,1.6033933,0.85896075,2.0042417,1.259809,-0.1145281,3.0349946,2.6914103,-2.8632023,5.2682924,0.28632024,-0.2290562,0.6299045,-1.4888653,-2.40509,1.145281,1.3170731,-2.7486744,2.2332978,-2.5768821,-0.9162248,-3.0349946,1.7751855,-5.2110286,-0.17179215,1.3743372,-0.51537645,0.05726405,0.6871686,-2.347826,1.4316012,-2.5768821,0.80169666,0.28632024,0.6299045,1.145281,2.11877,0.9734888,-1.202545,-3.2640507,6.585366,-2.2332978,-0.17179215,-1.259809,1.202545,3.8366911,0.3435843,2.6341462,1.5461293,3.7794273,1.6033933,-0.17179215,-0.17179215,2.0615058,4.867444,-3.664899,-1.9469776,-1.5461293,1.0307529,1.4316012,3.1495228,0.17179215,-2.6341462,-1.3170731,-7.2725344,-1.8324496,1.259809,-0.85896075,2.4623542,-2.9204664,-1.4316012,-0.9734888,0.9734888,-1.202545,2.0615058,0.2290562,2.6341462,1.9469776,-1.7179215,-0.5726405,3.9512193,0.05726405,-4.752916,-1.8324496,-0.5726405,-1.8897136,0.1145281,3.7221632,2.5768821,-0.28632024,1.9469776,1.7179215,2.0042417,-1.0880169,-1.3743372,-0.6299045,3.7794273,-0.9162248,-4.23754,4.1230116,-4.752916,-4.52386,-2.4623542,-2.290562,-7.2725344,0.9162248,-3.3213148,-0.80169666,4.23754,0.2290562
POINT (-61.153631 -8.090512),Deter_Deg_CsG,2024,0.83690536,1.9527792,0.4881948,0.90664744,1.255358,2.0225213,-0.5579369,0.627679,-0.27896845,4.6727214,-2.3014898,1.1158738,-3.4871056,-6.207048,0.627679,1.6738107,-3.5568478,1.1158738,-0.34871057,1.3948423,0.34871057,2.2317476,1.6738107,-0.90664744,4.184527,2.0922635,-4.95169,5.3004007,1.3948423,0.06974211,-0.06974211,-2.6502004,-1.0461317,0.90664744,1.8830371,-1.8830371,0.9763896,-2.3712318,-2.2317476,-1.6040686,1.255358,-4.5332375,-0.06974211,2.7199423,1.1856159,-0.4881948,-0.20922634,-0.9763896,0.90664744,0.34871057,0.9763896,2.0225213,1.1856159,1.8830371,2.0922635,0.0,0.627679,-3.5568478,6.067564,-2.5804582,-0.4881948,-2.0225213,2.3014898,3.2081373,-0.627679,2.2317476,0.5579369,3.9753006,-0.5579369,0.83690536,-0.7671633,2.510716,5.1609163,-1.7435528,-2.2317476,-1.4645844,0.90664744,1.255358,2.8594267,-0.34871057,-1.8830371,-1.0461317,-6.904469,-1.9527792,1.4645844,-2.3014898,3.8358161,-5.1609163,-1.4645844,-0.13948423,0.06974211,-1.3948423,1.5343266,1.0461317,1.7435528,1.8132949,-1.3251002,-0.06974211,4.0450425,-2.2317476,-3.3476214,-2.1620054,-0.41845268,-2.3712318,1.1158738,2.3712318,2.510716,0.0,0.83690536,2.0922635,1.1856159,-2.440974,-1.1158738,-0.9763896,3.2778792,-2.1620054,-2.2317476,3.7660742,-3.9753006,-6.3465323,-2.3712318,-2.9291687,-8.857248,1.6738107,-2.998911,-0.9763896,3.696332,0.7671633
POINT (-61.153541 -8.090512),Deter_Deg_CsG,2024,1.2569965,1.4964244,1.3767105,0.65842676,1.8555663,2.633707,-0.7781407,0.7781407,-0.8379977,4.5491304,-1.7358524,0.119713955,-4.1301312,-5.686413,0.29928488,1.3767105,-3.5315616,0.95771164,0.17957093,1.1971395,1.3767105,1.9752803,1.6161383,-1.1971395,3.7709897,2.693564,-3.112563,5.327271,2.0949943,0.7182837,0.059856977,-1.9752803,-0.8379977,0.23942791,1.0175686,-1.1971395,2.394279,-2.2745652,-1.7957094,-1.5562814,0.8978547,-4.968129,-0.41899884,2.0351372,0.7781407,-0.65842676,-0.35914186,-2.1548512,0.65842676,-0.17957093,2.0351372,1.7358524,0.29928488,1.3767105,2.0949943,0.8379977,-0.119713955,-2.932992,6.2849827,-1.6161383,-1.1971395,-0.8379977,1.3767105,3.4717047,0.95771164,2.633707,0.47885582,4.668844,0.59856975,2.8731349,0.17957093,2.214708,4.788558,-1.6759953,-2.813278,-1.6759953,1.8555663,1.4964244,1.9752803,-0.5387128,-2.57385,-0.95771164,-5.8061266,-1.6161383,1.0774256,-1.9154233,4.9082723,-4.968129,-0.17957093,-0.65842676,0.47885582,-1.7358524,2.0351372,1.6161383,2.813278,2.214708,-2.0949943,0.59856975,4.6089873,-2.57385,-3.7709897,-2.513993,0.119713955,-3.2322767,0.5387128,3.1724198,3.1724198,0.41899884,1.6161383,1.7957094,1.0774256,-3.7111325,-0.23942791,-0.8379977,3.2322767,-1.6759953,-1.6759953,3.4717047,-4.5491304,-5.7462697,-2.633707,-4.3097024,-7.601836,1.5562814,-3.7709897,-0.23942791,5.087843,-1.0774256
POINT (-61.15345 -8.090512),Deter_Deg_CsG,2024,3.7924469,1.3306831,1.6633538,0.66534156,0.93147814,2.4617636,-1.0645465,-0.26613662,-0.33267078,3.5928442,-0.066534154,1.3972173,-3.9255152,-3.5263102,-0.9980123,1.3972173,-4.125118,1.3306831,-1.6633538,2.3286953,1.729888,1.5302856,2.7944345,-1.6633538,4.0585833,1.7964221,-2.7279003,6.1211424,0.066534154,-0.26613662,0.7318757,-1.8629563,-1.8629563,1.3306831,0.0,-2.4617636,3.5928442,-3.1936393,-0.7984098,-2.594832,2.4617636,-6.2542105,0.26613662,2.062559,0.19960245,-0.26613662,0.13306831,-3.858981,1.3972173,-2.594832,0.93147814,-0.13306831,0.5988074,0.66534156,1.264149,1.1976148,-1.3306831,-1.6633538,6.453813,-0.9980123,-0.9980123,-0.3992049,1.264149,4.723925,0.7318757,2.4617636,1.9960246,3.5928442,1.3972173,0.7984098,-0.3992049,1.9294904,4.5243225,-1.9960246,-0.53227323,-1.729888,0.3992049,1.6633538,3.459776,-0.53227323,-1.8629563,-1.1976148,-8.449838,-0.66534156,1.5302856,-0.33267078,2.195627,-3.7259126,-0.19960245,-0.864944,0.93147814,-1.1976148,1.8629563,1.1310806,2.3286953,1.729888,-1.729888,0.46573907,5.12313,-0.19960245,-3.3267076,0.5988074,-2.129093,-1.264149,0.46573907,2.3952296,1.9294904,0.46573907,2.4617636,-0.66534156,1.4637514,-2.062559,-1.264149,-1.264149,2.594832,-2.7279003,-2.129093,3.2601736,-3.5928442,-4.856993,-3.3267076,-3.459776,-7.1856885,3.393242,-3.5263102,1.3306831,5.056596,-0.5988074
POINT (-61.153631 -8.090603),Deter_Deg_CsG,2024,3.057929,1.1920741,0.7774396,1.5548792,0.72561026,2.021343,-1.5030499,0.57012236,-1.0884154,2.2804894,0.673781,2.3323188,-3.6280513,-3.7835393,-0.41463444,1.865855,-4.975613,0.88109815,-0.2591465,1.6585377,1.7103671,1.2439033,1.6067084,-0.7774396,4.612808,2.3841481,-2.3323188,6.2713456,1.347562,-0.7774396,0.57012236,-2.4359772,-2.7987823,0.051829305,-0.88109815,-1.5030499,0.36280513,-3.9908564,-0.72561026,-2.2804894,1.8140256,-6.115858,-0.36280513,2.1768308,0.10365861,0.98475677,2.5914652,-2.6432946,0.518293,-0.518293,1.3993912,0.9329275,-0.051829305,1.7621963,0.46646374,1.865855,-0.051829305,-1.5030499,6.5823216,-0.2591465,-0.673781,-0.673781,2.22866,4.8719544,-0.2591465,2.7987823,2.1768308,4.3536615,0.98475677,1.8140256,-1.1402447,1.347562,6.2713456,-1.5030499,-0.20731722,-2.4359772,1.347562,-0.10365861,2.902441,0.31097582,-3.576222,-1.1402447,-5.5975647,-0.051829305,1.9695135,-1.7621963,1.5548792,-3.1097584,-0.10365861,0.41463444,-0.36280513,-1.2439033,1.8140256,1.1402447,3.1615875,1.865855,0.2591465,1.2957326,3.1097584,0.9329275,-3.2652462,0.518293,0.20731722,0.051829305,0.15548791,2.6432946,2.7469532,0.36280513,0.57012236,1.2957326,1.6585377,-2.695124,-0.62195164,-1.4512205,4.45732,-2.4359772,-3.1097584,3.6798806,-3.6798806,-5.1829305,-1.9695135,-4.8719544,-6.2195168,1.9176843,-2.7987823,0.88109815,5.7012234,-1.4512205
POINT (-61.153541 -8.090603),Deter_Deg_CsG,2024,2.6106958,0.4641237,1.1022937,1.8564948,0.6961855,1.6824484,-0.34809276,1.2763401,-0.63817006,3.6549742,-1.3343556,2.8427577,-4.9313145,-5.1633763,0.116030924,1.9145103,-3.9450514,0.5801546,0.63817006,1.2763401,1.4503865,1.4503865,1.7404639,-0.17404638,4.757268,3.7129896,-1.9145103,6.033608,1.508402,-0.81221646,0.23206185,-2.0885565,-2.7267268,1.0442783,-0.63817006,-2.0885565,1.0442783,-2.900773,-1.5664175,-2.5526803,1.7984793,-5.1633763,-0.4641237,1.9145103,-0.81221646,0.52213913,1.508402,-2.0885565,0.34809276,-0.23206185,2.6106958,0.754201,-0.40610823,1.508402,0.9282474,1.7404639,-0.058015462,-2.6106958,7.135902,-1.1022937,-0.2900773,-0.63817006,1.9725257,5.1053605,-0.34809276,1.9725257,1.3343556,4.1190977,1.1022937,1.3343556,-1.508402,1.7404639,6.26567,-2.262603,-1.6824484,-2.3206184,1.6824484,-0.23206185,2.4366493,0.058015462,-3.4809277,-1.2183247,-5.569484,-1.2183247,2.262603,-1.1603092,2.9587886,-3.9450514,-0.6961855,-0.17404638,-0.17404638,-2.3206184,2.0305412,1.6244329,2.8427577,1.6244329,0.17404638,0.63817006,3.3648968,-0.17404638,-4.409175,-0.9282474,-0.17404638,-1.3343556,-0.116030924,3.1908505,1.9145103,-0.63817006,0.81221646,2.146572,1.9145103,-4.235129,-0.9282474,-1.4503865,5.395438,-0.98626286,-4.641237,3.8290205,-3.8290205,-5.4534535,-1.6824484,-4.177113,-7.367964,-0.34809276,-2.7267268,0.52213913,5.1633763,-1.4503865
